EntryType,Date,Category,Subcategory,Description,Budgeted,Actual,Account,Notes
income,,Salary,Monthly salary,Monthly salary,34155,38502.39,Checking,
budget,,Housing,Rent / Principle,Monthly rent/ Principle,8400,4800,Checking,
budget,,Housing,Interest Mortgage,Interest payment,3250,2845,Checking,
budget,,Housing,Phone,Data package,195,169,Checking,
budget,,Housing,Electricity Grid fee,Network fee electricity,250,232,Checking,
budget,,Housing,Electricity Usage,Electrical usage invoice,200,227,Checking,
budget,,Housing,Housing fee,Avgift for Housing Association,4564,5138,Checking,
budget,,Housing,Internet,Broadband,99,99,Checking,
budget,,Housing,Water,Water consumption invoice,0,,Checking,
budget,,Housing,Supplies,Misc house supplies,0,,Checking,
budget,,Insurances,Unionen,Union fee,245,245,Checking,
budget,,Insurances,A-Kassa,Unemployment benefit fee,160,160,Checking,
budget,,Insurances,Bliwa,Life and accident insurance,177,177,Checking,
budget,,Insurances,Home Insurance,IF insurance for home,187,178,Checking,
budget,,Insurances,Life,Life insurance from Nordea,56,60,Checking,
budget,,Insurances,Others,Misc insurance,0,,Checking,
budget,,Transportation,Public Transport,Bus/ Tram passes,700,773.33,Checking,
budget,,Transportation,Misc,Misc for transportation,0,,Checking,
budget,,Food,Groceries,Groceries,3500,1261.93,Checking,
budget,,Food,Eat-out,"Café, restaurant purchases",1000,390,Checking,
budget,,Travel,Pak Trip,Annual home trip,1500,,Checking,
budget,,Travel,Vacation expense,Other vacation travels,0,,Checking,
budget,,Travel,Other trips,"Flights, train cost etc",0,,Checking,
budget,,Travel,Accommodation,Accommodation cost on vacation,0,,Checking,
budget,,Personal Care,Medical,"Doctor fee, medicine cost",0,,Checking,
budget,,Personal Care,Hair cuts,Hair cuts,250,,Checking,
budget,,Personal Care,Others,Clothing,0,,Checking,
budget,,Personal Care,Others,Misc for Personal care,0,,Checking,
budget,,Entertainment,Subscriptions,Netflix etc,0,,Checking,
budget,,Entertainment,"Movies, Concerts","Cinema, concerts, shows etc",0,,Checking,
budget,,Entertainment,Sports,Court fees etc,0,,Checking,
budget,,Entertainment,Others,Misc for Entertainment,0,,Checking,
budget,,Loans,Personal,Personal or private loans,0,,Checking,
budget,,Loans,Credit cards,Credit card loans,0,,Checking,
budget,,Loans,Others,Misc for Loans,0,,Checking,
budget,,Taxes,Federal,Federal tax,0,,Checking,
budget,,Taxes,State,State tax,0,,Checking,
budget,,Taxes,Others,Misc for Taxes,0,,Checking,
budget,,Savings and Investments,Savings Account,Savings Account,1000,,Checking,
budget,,Savings and Investments,Investment Account,"Stocks, funds investment",5000,5000,Checking,
budget,,Savings and Investments,Others,Misc for Savings and investment,0,,Checking,
budget,,Legal,Others,Misc for legal fees,0,,Checking,
budget,,Fees,Bank fee,Nordea Vardagspaket,39,35,Checking,
